target,text,processed_text
1,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,thank for your subscript to rington uk your mobil will be charg month pleas confirm by repli ye or no if you repli no you will not be charg
0,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,yup ok i go home look at the time then i msg again xuhui go to learn on nd may too but her lesson is at am
0,"Oops, I'll let you know when my roommate's done",oop i ll let you know when my roommat s done
0,I see the letter B on my car,i see the letter b on my car
0,Anything lor... U decide...,anyth lor u decid
0,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,hello how s you and how did saturday go i wa just text to see if you d decid to do anyth tomo not that i m tri to invit myself or anyth
0,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,pl go ahead with watt i just want to be sure do have a great weekend abiola
0,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",did i forget to tell you i want you i need you i crave you but most of all i love you my sweet arabian steed mmmmmm yummi
1,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,rodger burn msg we tri to call you re your repli to our sm for a free nokia mobil free camcord pleas call now for deliveri tomorrow
0,WHO ARE YOU SEEING?,who are you see
0,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,great i hope you like your man well endow i am lt gt inch
0,No calls..messages..missed calls,no call messag miss call
0,Didn't you get hep b immunisation in nigeria.,didn t you get hep b immunis in nigeria
0,"Fair enough, anything going on?",fair enough anyth go on
0,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",yeah hope if tyler can t do it i could mayb ask around a bit
0,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,u don t know how stubborn i am i didn t even want to go to the hospit i kept tell mark i m not a weak sucker hospit are for weak sucker
0,What you thinked about me. First time you saw me in class.,what you think about me first time you saw me in class
0,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",a gram usual run like lt gt a half eighth is smarter though and get you almost a whole second gram for lt gt
0,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,k fyi x ha a ride earli tomorrow morn but he s crash at our place tonight
0,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.",wow i never realiz that you were so embarass by your accomod i thought you like it sinc i wa do the best i could and you alway seem so happi about the cave i m sorri i didn t and don t have more to give i m sorri i offer i m sorri your room wa so embarass
1,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,sm ac sptv the new jersey devil and the detroit red wing play ice hockey correct or incorrect end repli end sptv
0,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,do you know what mallika sherawat did yesterday find out now lt url gt
1,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",congrat year special cinema pass for is your call now c suprman v matrix starwar etc all free bx ip we pm dont miss out
0,"Sorry, I'll call later in meeting.",sorri i ll call later in meet
0,Tell where you reached,tell where you reach
0,Yes..gauti and sehwag out of odi series.,ye gauti and sehwag out of odi seri
0,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,your gonna have to pick up a burger for yourself on your way home i can t even move pain is kill me
0,Ha ha ha good joke. Girls are situation seekers.,ha ha ha good joke girl are situat seeker
0,Its a part of checking IQ,it a part of check iq
0,"Sorry my roommates took forever, it ok if I come by now?",sorri my roommat took forev it ok if i come by now
0,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,ok lar i doubl check wif da hair dresser alreadi he said wun cut v short he said will cut until i look nice
1,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",as a valu custom i am pleas to advis you that follow recent review of your mob no you are award with a bonu prize call
0,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",today is song dedic day which song will u dedic for me send thi to all ur valuabl frnd but first rpli me
1,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",urgent ur award a complimentari trip to eurodisinc trav aco entri or to claim txt di to morefrmmob shracomorsglsuplt ls aj
1,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",did you hear about the new divorc barbi it come with all of ken s stuff
0,I plane to give on this month end.,i plane to give on thi month end
0,Wah lucky man... Then can save money... Hee...,wah lucki man then can save money hee
0,Finished class where are you.,finish class where are you
0,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,hi babe im at home now wanna do someth xx
0,K..k:)where are you?how did you performed?,k k where are you how did you perform
0,U can call me now...,u can call me now
0,I am waiting machan. Call me once you free.,i am wait machan call me onc you free
0,Thats cool. i am a gentleman and will treat you with dignity and respect.,that cool i am a gentleman and will treat you with digniti and respect
0,I like you peoples very much:) but am very shy pa.,i like you peopl veri much but am veri shi pa
0,Does not operate after  &lt;#&gt;  or what,doe not oper after lt gt or what
0,Its not the same here. Still looking for a job. How much do Ta's earn there.,it not the same here still look for a job how much do ta s earn there
0,"Sorry, I'll call later",sorri i ll call later
0,K. Did you call me just now ah? ,k did you call me just now ah
0,Ok i am on the way to home hi hi,ok i am on the way to home hi hi
0,You will be in the place of that man,you will be in the place of that man
0,Yup next stop.,yup next stop
0,"I call you later, don't have network. If urgnt, sms me.",i call you later don t have network if urgnt sm me
0,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,for real when u get on yo i onli need more ticket and one more jacket and i m done i alreadi use all my multi
0,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,ye i start to send request to make it but pain came back so i m back in bed doubl coin at the factori too i gotta cash in all my nitro
0,I'm really not up to it still tonight babe,i m realli not up to it still tonight babe
0,"Ela kano.,il download, come wen ur free..",ela kano il download come wen ur free
0,Yeah do! Don‘t stand to close tho- you‘ll catch something!,yeah do don t stand to close tho you ll catch someth
0,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,sorri to be a pain is it ok if we meet anoth night i spent late afternoon in casualti and that mean i haven t done ani of y stuff moro and that includ all my time sheet and that sorri
0,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,smile in pleasur smile in pain smile when troubl pour like rain smile when sum hurt u smile becoz someon still love to see u smile
1,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,pleas call our custom servic repres on between am pm as you have won a guarante cash or prize
0,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,havent plan to buy later i check alreadi lido onli got show in e afternoon u finish work alreadi
1,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",your free rington is wait to be collect simpli text the password mix to to verifi get usher and britney fml po box mk h ppw
0,Watching telugu movie..wat abt u?,watch telugu movi wat abt u
0,i see. When we finish we have loads of loans to pay,i see when we finish we have load of loan to pay
0,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""",hi wk been ok on hol now ye on for a bit of a run forgot that i have hairdress appoint at four so need to get home n shower beforehand doe that caus prob for u
0,I see a cup of coffee animation,i see a cup of coffe anim
0,Please don't text me anymore. I have nothing else to say.,pleas don t text me anymor i have noth els to say
0,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,okay name ur price as long as it legal wen can i pick them up y u ave x am xx
0,I'm still looking for a car to buy. And have not gone 4the driving test yet.,i m still look for a car to buy and have not gone the drive test yet
0,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,as per your request mell mell oru minnaminungint nurungu vettam ha been set as your callertun for all caller press to copi your friend callertun
0,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",wow you re right i didn t mean to do that i guess onc i gave up on boston men and chang my search locat to nyc someth chang cuz on my signin page it still say boston
0,Umma my life and vava umma love you lot dear,umma my life and vava umma love you lot dear
0,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,thank a lot for your wish on my birthday thank you for make my birthday truli memor
0,"Aight, I'll hit you up when I get some cash",aight i ll hit you up when i get some cash
0,How would my ip address test that considering my computer isn't a minecraft server,how would my ip address test that consid my comput isn t a minecraft server
0,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,i know grumpi old peopl my mom wa like you better not be lie then again i am alway the one to play joke
0,Dont worry. I guess he's busy.,dont worri i guess he s busi
0,What is the plural of the noun research?,what is the plural of the noun research
0,Going for dinner.msg you after.,go for dinner msg you after
0,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,i m ok wif it co i like tri new thing but i scare u dun like mah co u said not too loud
1,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,gent we are tri to contact you last weekend draw show that you won a prize guarante call claim code k valid hr onli ppm
0,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",wa ur openin sentenc veri formal anyway i m fine too juz tt i m eatin too much n puttin on weight haha so anythin special happen
0,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",as i enter my cabin my pa said happi b day boss i felt special she askd me lunch after lunch she invit me to her apart we went there
1,You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,you are a winner u have been special select receiv or a holiday flight inc speak to a live oper claim p min
0,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,goodo ye we must speak friday egg potato ratio for tortilla need
0,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,hmm my uncl just inform me that he s pay the school directli so pl buy food
1,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,privat your account statement for show unredeem bonu point to claim call identifi code expir
1,"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",urgent your mobil no wa award bonu caller prize on thi is our final tri to contact u call from landlin box wr c ppm
0,here is my new address -apples&pairs&all that malarky,here is my new address appl pair all that malarki
1,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,today voda number end are select to receiv a award if you have a match pleas call quot claim code standard rate app
0,I am going to sao mu today. Will be done only at 12 ,i am go to sao mu today will be done onli at
0,Ü predict wat time ü'll finish buying?,predict wat time ll finish buy
0,"Good stuff, will do.",good stuff will do
0,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",just so that you know yetund hasn t sent money yet i just sent her a text not to bother send so it over you dont have to involv yourself in anyth i shouldn t have impos anyth on you in the first place so for that i apologis
0,Are you there in room.,are you there in room
0,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,hey girl how r u hope u r well me an del r bak again long time no c give me a call sum time from lucyxx
0,K..k:)how much does it cost?,k k how much doe it cost
0,I'm home.,i m home
0,"Dear, will call Tmorrow.pls accomodate.",dear will call tmorrow pl accomod
0,First answer my question.,first answer my question
1,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,sunshin quiz wkli q win a top soni dvd player if u know which countri the algarv is in txt ansr to sp tyron
1,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,want get laid tonight want real dog locat sent direct ur mob join the uk s largest dog network bt txting gravel to nt ec a p msg p
0,I only haf msn. It's yijue@hotmail.com,i onli haf msn it s yiju hotmail com
0,He is there. You call and meet him,he is there you call and meet him
0,No no. I will check all rooms befor activities,no no i will check all room befor activ
1,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,you ll not rcv ani more msg from the chat svc for free hardcor servic text go to if u get noth u must age verifi with yr network tri again
0,Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...,got c i lazi to type i forgot in lect i saw a pouch but like not v nice
0,"K, text me when you're on the way",k text me when you re on the way
0,"Sir, Waiting for your mail.",sir wait for your mail
0,"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8",a swt thought nver get tire of do littl thing lovabl person coz somtim those littl thing occupi d biggest part in their heart gud ni
0,I know you are. Can you pls open the back?,i know you are can you pl open the back
0,Yes see ya not on the dot,ye see ya not on the dot
0,Whats the staff name who is taking class for us?,what the staff name who is take class for us
1,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",freemsg whi haven t you repli to my text i m randi sexi femal and live local luv to hear from u netcollex ltd p per msg repli stop to end
0,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,ummma will call after check in our life will begin from qatar so pl pray veri hard
0,K..i deleted my contact that why?,k i delet my contact that whi
0,Sindu got job in birla soft ..,sindu got job in birla soft
0,The wine is flowing and i'm i have nevering..,the wine is flow and i m i have never
0,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,yup i thk cine is better co no need go down plaza mah
0,Ok... Ur typical reply...,ok ur typic repli
0,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,as per your request mell mell oru minnaminungint nurungu vettam ha been set as your callertun for all caller press to copi your friend callertun
0,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",you are everywher dirt on the floor the window even on my shirt and sometim when i open my mouth you are all that come flow out i dream of my world without you then half my chore are out too a time of joy for me lot of tv show i ll see but i guess like all thing you just must exist like rain hail and mist and when my time here is done you and i becom one
0,Aaooooright are you at work?,aaooooright are you at work
0,I'm leaving my house now...,i m leav my hous now
0,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",hello my love what are you do did you get to that interview today are you you happi are you be a good boy do you think of me are you miss me
1,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,custom servic annonc you have a new year deliveri wait for you pleas call now to arrang deliveri
1,You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,you are a winner u have been special select receiv cash or a holiday flight inc speak to a live oper claim
0,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,keep yourself safe for me becaus i need you and i miss you alreadi and i envi everyon that see s you in real life
0,New car and house for my parents.:)i have only new job in hand:),new car and hous for my parent i have onli new job in hand
0,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,i m so in love with you i m excit each day i spend with you you make me so happi
1,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,pl stop bootydeli f is invit you to be her friend repli ye or no see her www sm ac u bootydeli stop send stop frnd to
1,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",bangbab ur order is on the way u should receiv a servic msg download ur content if u do not goto wap bangb tv on ur mobil internet servic menu
0,I place all ur points on e cultures module already.,i place all ur point on e cultur modul alreadi
1,URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,urgent we are tri to contact you last weekend draw show that you have won a prize guarante call claim code s valid hr onli
0,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",hi frnd which is best way to avoid missunderstd wit our belov one s
0,Great escape. I fancy the bridge but needs her lager. See you tomo ,great escap i fanci the bridg but need her lager see you tomo
0,Yes :)it completely in out of form:)clark also utter waste.,ye it complet in out of form clark also utter wast
0,"Sir, I need AXIS BANK account no and bank address.",sir i need axi bank account no and bank address
0,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",hmmm thk sure got time to hop ard ya can go free abt muz call u to discuss liao
0,What time you coming down later? ,what time you come down later
0,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",bloodi hell cant believ you forgot my surnam mr ill give u a clue it spanish and begin with m
0,"Well, i'm gonna finish my bath now. Have a good...fine night.",well i m gonna finish my bath now have a good fine night
0,Let me know when you've got the money so carlos can make the call,let me know when you ve got the money so carlo can make the call
0,U still going to the mall?,u still go to the mall
0,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",turn out my friend are stay for the whole show and won t be back til lt gt so feel free to go ahead and smoke that lt gt worth
0,Text her. If she doesnt reply let me know so i can have her log in,text her if she doesnt repli let me know so i can have her log in
0,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,hi you just spoke to maneesha v we d like to know if you were satisfi with the experi repli toll free with ye or no
0,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,you lift my hope with the offer of money i am in need especi when the end of the month approach and it hurt my studi anyway have a gr weekend
0,Lol no. U can trust me.,lol no u can trust me
0,ok. I am a gentleman and will treat you with dignity and respect.,ok i am a gentleman and will treat you with digniti and respect
0,"He will, you guys close?",he will you guy close
0,Going on nothing great.bye,go on noth great bye
0,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,hello handsom are you find that job not be lazi work toward get back that net for mummi where s my boytoy now doe he miss me
0,"Haha awesome, be there in a minute",haha awesom be there in a minut
1,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!,pleas call our custom servic repres on freephon between am pm as you have won a guarante cash or prize
0,Have you got Xmas radio times. If not i will get it now,have you got xma radio time if not i will get it now
0,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,i ju reach home i go bath first but my si use net tell u when she finish k
1,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,are you uniqu enough find out from th august www areyouuniqu co uk
0,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,i m sorri i ve join the leagu of peopl that dont keep in touch you mean a great deal to me you have been a friend at all time even at great person cost do have a great week
0,Hi :)finally i completed the course:),hi final i complet the cours
0,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,it will stop on itself i howev suggest she stay with someon that will be abl to give or for everi stool
0,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,how are you do hope you ve settl in for the new school year just wishin you a gr day
0,Gud mrng dear hav a nice day,gud mrng dear hav a nice day
0,Did u got that persons story,did u got that person stori
0,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,is your hamster dead hey so tmr i meet you at pm orchard mrt
0,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,hi it kate how is your even i hope i can see you tomorrow for a bit but i have to bloodi babyjontet txt back if u can xxx
0,"Found it, ENC  &lt;#&gt; , where you at?",found it enc lt gt where you at
0,I sent you  &lt;#&gt;  bucks,i sent you lt gt buck
0,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,hello darlin ive finish colleg now so txt me when u finish if u can love kate xxx
0,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,your account ha been refil success by inr lt decim gt your keralacircl prepaid account balanc is rs lt decim gt your transact id is kr lt gt
0,Goodmorning sleeping ga.,goodmorn sleep ga
0,U call me alter at 11 ok.,u call me alter at ok
0,Ü say until like dat i dun buy ericsson oso cannot oredi lar...,say until like dat i dun buy ericsson oso cannot oredi lar
0,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",as i enter my cabin my pa said happi b day boss i felt special she askd me lunch after lunch she invit me to her apart we went there
0,"Aight yo, dats straight dogg",aight yo dat straight dogg
0,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,you pleas give us connect today itself befor lt decim gt or refund the bill
0,Both :) i shoot big loads so get ready!,both i shoot big load so get readi
0,"What's up bruv, hope you had a great break. Do have a rewarding semester.",what s up bruv hope you had a great break do have a reward semest
0,Home so we can always chat,home so we can alway chat
0,K:)k:)good:)study well.,k k good studi well
0,Yup... How ü noe leh...,yup how noe leh
0,Sounds great! Are you home now?,sound great are you home now
0,Finally the match heading towards draw as your prediction.,final the match head toward draw as your predict
0,Tired. I haven't slept well the past few nights.,tire i haven t slept well the past few night
0,Easy ah?sen got selected means its good..,easi ah sen got select mean it good
0,I have to take exam with march 3,i have to take exam with march
0,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,yeah you should i think you can use your gt atm now to regist not sure but if there s anyway i can help let me know but when you do be sure you are readi
0,Ok no prob. Take ur time.,ok no prob take ur time
0,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,there is os call ubandu which will run without instal in hard disk you can use that os to copi the import file in system and give it to repair shop
0,"Sorry, I'll call later",sorri i ll call later
